,Product status,Ad format,RECALL POTENTIAL INDEX,VISIBILITY INDEX,BRAND LINKAGE INDEX,"Ad length (TV, Radio)",Likeability Top,Likeability Top2,Likeability Bottom,Is believable Top,Is believable Top2,Think new way Top,Think new way Top2,Makes me feel good about x Top,Makes me feel good about x Top2,Is entertaining Top,Is entertaining Top2,Is unique Top,Is unique Top2,Is irritating Top,Is irritating Top2,Like to see on TV Top,Like to see on TV Top2,Is informative Top,Is informative Top2,For people like me Top,For people like me Top2,People will talk about Top,People will talk about Top2,Told me sthg new Top,Told me sthg new Top2,Brand Diff Top,Brand Diff Top2,Fits with way Top,Fits with way Top2,Told important Top,Told important Top2,Stirred my emotions Top,Stirred my emotions Top2,Is confusing Top,Is confusing Top2,Notice & remember Top,Notice & remember Top2,Clarity Top,Clarity Top2,Chance_Opinion Top,Chance_Opinion Top2,Mesaj İletimi (Top2Box),Mesaj İnandırıcılığı (Top2Box),Mesaj Hitap (Top2Box)
66,Existing,Finished,53.4,57.4,60.4,18.0,18.0,68.0,5.0,33.0,81.0,24.0,70.0,25.0,80.0,37.0,74.0,14.0,65.0,13.0,42.0,17.0,57.0,29.0,86.0,31.0,71.0,22.0,72.0,35.0,76.0,28.0,78.0,17.0,87.0,20.0,80.0,19.0,62.0,5.0,30.0,9.0,55.0,33.0,92.0,15.0,51.0,74.0,45.0,44.0
67,Existing,Finished,111.0,109.0,110.0,54.0,57.0,86.0,1.0,48.0,88.0,45.0,82.0,55.0,88.0,65.0,92.0,34.0,80.0,6.0,26.0,39.0,82.0,52.0,88.0,52.0,88.0,37.0,86.0,50.0,90.0,34.0,84.0,55.0,88.0,42.0,87.0,48.0,85.0,10.0,29.0,36.0,75.0,52.0,94.0,37.0,82.0,92.0,87.0,89.0
68,Existing,Finished,120.3,109.4,124.0,30.0,67.0,87.0,1.0,63.0,87.0,45.0,81.0,63.0,94.0,45.0,86.0,36.0,81.0,10.0,19.0,48.0,81.0,60.0,91.0,65.0,92.0,40.0,82.0,50.0,86.0,63.0,87.0,68.0,92.0,48.0,83.0,62.0,89.0,12.0,22.0,45.0,80.0,73.0,99.0,55.0,82.0,91.0,90.0,87.0
69,Existing,Animatic,139.8,134.6,130.8,51.0,61.0,87.0,3.0,60.0,90.0,56.0,87.0,62.0,91.0,62.0,90.0,37.0,82.0,14.0,26.0,48.0,88.0,67.0,94.0,57.0,87.0,47.0,87.0,63.0,92.0,56.0,87.0,55.0,91.0,56.0,88.0,48.0,85.0,13.0,32.0,41.0,81.0,62.0,95.0,41.0,79.0,81.0,82.0,74.0
70,Existing,Finished,108.2,100.6,113.1,22.0,52.0,89.0,0.0,50.0,93.0,45.0,83.0,53.0,90.0,56.0,88.0,24.0,70.0,9.0,23.0,41.0,83.0,57.0,90.0,48.0,85.0,39.0,83.0,47.0,87.0,31.0,81.0,45.0,89.0,34.0,86.0,37.0,82.0,13.0,29.0,33.0,77.0,57.0,96.0,36.0,76.0,76.0,76.0,76.0
71,Existing,Finished,96.1,94.4,99.2,22.0,53.0,92.0,0.0,51.0,87.0,43.0,87.0,55.0,92.0,58.0,93.0,22.0,67.0,6.0,16.0,42.0,86.0,54.0,92.0,47.0,88.0,34.0,82.0,43.0,84.0,27.0,81.0,46.0,94.0,36.0,85.0,37.0,84.0,6.0,19.0,32.0,83.0,60.0,95.0,34.0,79.0,79.0,79.0,79.0
72,Existing,Finished,90.3,81.9,101.2,30.0,51.0,84.0,3.0,44.0,90.0,38.0,88.0,44.0,86.0,53.0,87.0,21.0,74.0,8.0,19.0,38.0,80.0,48.0,89.0,47.0,90.0,30.0,81.0,44.0,84.0,26.0,80.0,40.0,88.0,36.0,86.0,34.0,80.0,9.0,23.0,32.0,75.0,57.0,98.0,31.0,76.0,76.0,76.0,76.0
73,Existing,Finished,140.3,126.4,139.1,37.0,82.0,94.0,0.0,74.0,95.0,55.0,87.0,78.0,98.0,61.0,87.0,50.0,81.0,8.0,15.0,67.0,90.0,62.0,90.0,71.0,98.0,53.0,87.0,56.0,89.0,76.0,98.0,71.0,98.0,59.0,91.0,73.0,94.0,13.0,20.0,57.0,84.0,72.0,99.0,57.0,90.0,85.0,82.0,89.0
74,Existing,Finished,113.2,104.7,117.3,30.0,64.0,90.0,0.0,62.0,94.0,52.0,87.0,67.0,99.0,47.0,86.0,39.0,83.0,8.0,14.0,53.0,86.0,57.0,94.0,65.0,91.0,45.0,83.0,47.0,91.0,60.0,95.0,69.0,97.0,48.0,88.0,62.0,89.0,9.0,20.0,47.0,79.0,72.0,96.0,47.0,83.0,84.0,83.0,82.0
75,Existing,Animatic,103.4,92.4,112.9,30.0,40.0,76.0,3.0,37.0,83.0,41.6,83.8,47.0,87.0,50.0,83.0,41.0,80.0,11.0,32.0,37.0,78.0,39.0,77.0,44.0,80.0,33.0,74.0,37.0,80.0,43.0,82.0,44.0,84.0,35.0,75.0,40.0,81.0,17.0,46.0,31.0,65.0,49.0,91.0,31.0,69.0,85.0,84.0,83.0
76,Existing,Animatic,98.4,98.7,99.1,30.0,41.0,71.0,3.0,42.0,79.0,41.6,83.8,43.0,83.0,50.0,85.0,34.0,77.0,10.0,36.0,36.0,70.0,31.0,74.0,42.0,82.0,31.0,76.0,36.0,82.0,44.0,85.0,45.0,87.0,31.0,75.0,44.0,80.0,18.0,45.0,35.0,68.0,57.0,92.0,34.0,68.0,80.0,84.0,81.0
77,Existing,Finished,143.0,151.0,122.0,48.0,81.0,96.0,0.0,79.0,96.0,73.0,94.0,81.0,96.0,70.0,97.0,55.0,91.0,7.0,14.0,78.0,96.0,77.0,98.0,80.0,97.0,70.0,94.0,66.0,94.0,64.0,94.0,77.0,96.0,74.0,97.0,80.0,97.0,8.0,16.0,58.0,87.0,59.0,94.0,64.0,91.0,91.0,88.0,90.0
78,Existing,Finished,143.7,152.1,121.5,33.0,78.0,96.0,0.0,77.0,99.0,68.0,96.0,84.0,98.0,61.0,95.0,48.0,88.0,10.0,15.0,68.0,95.0,82.0,99.0,79.0,99.0,64.0,95.0,75.0,96.0,73.0,96.0,82.0,99.0,75.0,98.0,77.0,95.0,8.0,15.0,38.0,88.0,59.0,94.0,60.0,93.0,94.0,87.0,90.0
79,Existing,Finished,99.3,106.6,93.7,46.0,60.0,80.0,5.0,46.0,78.0,53.0,80.0,62.0,88.0,44.0,73.0,64.0,89.0,8.0,21.0,60.0,82.0,29.0,68.0,61.0,84.0,52.0,83.0,50.0,79.0,66.0,90.0,59.0,87.0,50.0,81.0,64.0,87.0,17.0,46.0,48.0,75.0,45.0,85.0,42.0,69.0,67.0,64.0,73.0
80,Existing,Animatic,85.7,101.8,76.2,48.0,68.0,94.0,0.0,64.0,88.0,58.0,87.0,65.0,92.0,55.0,89.0,33.0,81.0,9.0,14.0,59.0,91.0,57.0,87.0,64.0,92.0,45.0,86.0,59.0,90.0,46.0,87.0,57.0,93.0,60.0,90.0,64.0,88.0,10.0,20.0,45.0,82.0,44.0,88.0,41.0,86.0,88.0,86.0,87.0
81,Existing,Finished,74.4,74.9,81.0,16.0,32.0,68.0,5.0,37.0,84.0,31.0,76.0,38.0,83.0,35.0,76.0,27.0,64.0,12.0,39.0,36.0,68.0,40.0,81.0,35.0,75.0,32.0,71.0,31.0,79.0,26.0,75.0,37.0,81.0,23.0,74.0,31.0,74.0,8.0,37.0,31.0,65.0,53.0,93.0,21.0,56.0,56.0,51.0,48.0
82,Existing,Finished,113.3,108.6,113.9,34.0,50.0,82.0,3.0,48.0,90.0,48.0,84.0,52.0,90.0,51.0,80.0,35.0,81.0,13.0,34.0,36.0,76.0,54.0,89.0,42.0,85.0,38.0,80.0,50.0,89.0,41.0,86.0,45.0,94.0,42.0,80.0,36.0,77.0,11.0,33.0,33.0,75.0,54.0,94.0,34.0,72.0,77.0,71.0,70.0
83,Existing,Finished,102.2,92.3,111.2,27.0,45.0,85.0,2.0,48.0,90.0,39.0,82.0,46.0,87.0,48.0,79.0,23.0,75.0,11.0,30.0,33.0,80.0,53.0,90.0,39.0,82.0,32.0,81.0,43.0,85.0,27.0,79.0,45.0,91.0,33.0,81.0,33.0,75.0,11.0,32.0,29.0,77.0,54.0,98.0,28.0,76.0,81.0,76.0,77.0
84,Existing,Finished,77.1,72.8,87.4,23.0,37.0,80.0,2.0,38.0,90.0,37.0,87.0,43.0,87.0,39.0,79.0,22.0,65.0,10.0,31.0,26.0,79.0,45.0,92.0,34.0,82.0,26.0,78.0,42.0,87.0,26.0,81.0,32.0,89.0,33.0,87.0,26.0,78.0,11.0,26.0,32.0,68.0,46.0,94.0,23.0,75.0,83.0,70.0,68.0
85,Existing,Finished,83.2,71.2,99.2,22.0,40.0,78.0,3.0,40.0,88.0,34.0,78.0,41.0,85.0,41.0,82.0,20.0,67.0,7.0,25.0,28.0,73.0,52.0,87.0,30.0,81.0,27.0,77.0,41.0,83.0,26.0,75.0,35.0,85.0,29.0,83.0,28.0,72.0,8.0,31.0,30.0,72.0,59.0,94.0,29.0,70.0,71.0,67.0,67.0
86,Existing,Finished,96.4,86.2,107.2,27.0,41.0,77.0,2.0,46.0,88.0,39.0,82.0,46.0,87.0,47.0,84.0,25.0,70.0,6.0,32.0,33.0,72.0,52.0,86.0,38.0,82.0,30.0,76.0,41.0,82.0,30.0,79.0,42.0,89.0,30.0,78.0,30.0,69.0,7.0,31.0,24.0,69.0,47.0,97.0,29.0,65.0,79.0,65.0,61.0
87,Existing,Finished,86.0,86.0,91.0,45.0,44.0,81.0,5.0,39.0,76.0,38.0,74.0,51.0,85.0,46.0,82.0,39.0,82.0,8.0,22.0,50.0,79.0,28.0,66.0,47.0,82.0,32.0,69.0,39.0,74.0,50.0,83.0,52.0,83.0,23.0,70.0,47.0,81.0,12.0,32.0,30.0,73.0,57.0,92.0,33.0,65.0,58.0,49.0,58.0
88,Existing,Finished,112.7,114.2,108.0,46.0,73.0,92.0,0.0,58.0,88.0,57.0,92.0,70.0,91.0,67.0,88.0,42.0,79.0,3.0,10.0,46.0,90.0,71.0,91.0,58.0,89.0,50.0,89.0,54.0,93.0,53.0,91.0,63.0,91.0,52.0,90.0,43.0,86.0,6.0,16.0,43.0,83.0,70.0,98.0,44.0,84.0,84.0,81.0,80.0
89,Existing,Animatic,122.7,129.5,110.0,41.0,66.0,90.0,1.0,66.0,97.0,63.0,93.0,72.0,96.0,63.0,94.0,41.0,86.0,7.0,19.0,49.0,91.0,73.0,98.0,67.0,96.0,52.0,91.0,68.0,97.0,61.0,94.0,68.0,98.0,65.0,96.0,59.0,91.0,11.0,25.0,45.0,81.0,54.0,93.0,50.0,85.0,87.0,81.0,81.0
90,Existing,Animatic,107.4,108.9,104.4,42.0,65.0,91.0,1.0,64.0,95.0,57.0,92.0,69.0,95.0,56.0,89.0,34.0,79.0,3.0,12.0,52.0,88.0,71.0,95.0,63.0,96.0,49.0,90.0,65.0,96.0,57.0,94.0,63.0,97.0,63.0,93.0,49.0,91.0,7.0,19.0,46.0,82.0,46.0,95.0,44.0,87.0,87.0,83.0,83.0
91,Relaunch of existing product,Finished,89.7,85.2,97.1,52.0,55.0,86.0,1.0,40.0,86.0,36.0,82.0,43.0,88.0,50.0,84.0,19.0,66.0,11.0,28.0,38.0,80.0,48.0,84.0,36.0,86.0,31.0,78.0,37.0,83.0,30.0,82.0,34.0,88.0,43.0,86.0,28.0,75.0,8.0,32.0,38.0,76.0,51.0,95.0,28.0,77.0,70.0,66.0,72.0
92,New,Animatic,141.0,104.5,161.3,46.0,62.0,85.0,2.0,50.0,93.0,45.0,91.0,57.0,90.0,62.0,90.0,35.0,81.0,7.0,18.0,45.0,88.0,61.0,95.0,45.0,86.0,44.0,83.0,67.0,91.0,48.0,80.0,52.0,90.0,48.0,87.0,42.0,85.0,12.0,27.0,43.0,81.0,66.0,98.0,42.0,85.0,85.0,76.0,77.0
93,New,Animatic,170.1,136.1,174.3,33.0,70.0,94.0,0.0,67.0,93.0,61.0,91.0,77.0,93.0,78.0,94.0,48.0,86.0,7.0,18.0,60.0,92.0,72.0,94.0,64.0,90.0,46.0,92.0,76.0,95.0,53.0,91.0,77.0,93.0,49.0,93.0,58.0,92.0,9.0,19.0,48.0,89.0,69.0,97.0,54.0,92.0,92.0,92.0,86.0
94,Existing,Finished,105.7,118.2,93.8,46.0,54.0,86.0,1.0,46.0,80.0,55.0,83.0,56.0,92.0,43.0,79.0,46.0,79.0,7.0,23.0,61.0,90.0,30.0,78.0,58.0,91.0,49.0,79.0,55.0,87.0,58.0,88.0,62.0,89.0,47.0,83.0,65.0,92.0,17.0,46.0,43.0,81.0,58.0,95.0,46.0,74.0,61.0,57.0,68.0
95,Existing,Finished,100.9,104.7,97.9,46.0,52.0,74.0,6.0,39.0,75.0,45.0,77.0,51.0,88.0,38.0,78.0,56.0,85.0,13.0,27.0,54.0,75.0,30.0,66.0,48.0,77.0,45.0,69.0,48.0,75.0,56.0,84.0,61.0,93.0,41.0,73.0,58.0,82.0,24.0,47.0,42.0,73.0,66.0,91.0,42.0,66.0,57.0,52.0,61.0
96,Existing,Finished,167.5,141.1,165.7,41.0,80.0,92.0,1.0,70.0,88.0,61.0,87.0,72.0,90.0,45.0,87.0,45.0,83.0,7.0,14.0,52.0,86.0,75.0,89.0,63.0,88.0,54.0,86.0,66.0,88.0,64.0,88.0,70.0,89.0,65.0,89.0,61.0,88.0,8.0,17.0,55.0,86.0,79.0,97.0,66.0,91.0,93.0,90.0,91.0
97,Existing,Finished,176.8,157.5,163.8,40.0,74.0,93.0,1.0,68.0,92.0,61.0,92.0,72.0,92.0,54.0,89.0,48.0,87.0,10.0,20.0,59.0,92.0,75.0,93.0,62.0,93.0,55.0,90.0,64.0,92.0,63.0,93.0,68.0,91.0,70.0,93.0,63.0,92.0,12.0,26.0,53.0,90.0,77.0,99.0,57.0,89.0,93.0,92.0,90.0
98,Existing,Finished,112.3,107.1,113.6,36.0,62.0,92.0,1.0,52.0,93.0,55.0,87.0,56.0,87.0,51.0,85.0,25.0,75.0,11.0,20.0,51.0,85.0,57.0,94.0,52.0,86.0,41.0,82.0,52.0,87.0,48.0,87.0,53.0,93.0,54.0,88.0,50.0,87.0,12.0,25.0,37.0,82.0,53.0,98.0,41.0,82.0,81.0,78.0,77.0
99,Existing,Finished,110.4,100.2,116.9,36.0,58.0,88.0,2.0,59.0,89.0,54.0,85.0,57.0,89.0,61.0,87.0,29.0,65.0,6.0,17.0,40.0,84.0,62.0,90.0,64.0,90.0,41.0,80.0,54.0,88.0,48.0,85.0,51.0,89.0,53.0,90.0,54.0,85.0,7.0,22.0,41.0,75.0,51.0,92.0,42.0,81.0,83.0,79.0,84.0
100,Existing,Finished,95.3,90.2,101.8,36.0,29.0,65.0,7.0,36.0,81.0,41.6,83.8,37.0,74.0,48.0,74.0,43.0,81.0,9.5,26.8,31.0,65.0,35.0,78.0,39.0,69.0,39.0,85.0,41.0,77.0,36.0,73.0,33.0,73.0,20.0,70.0,34.0,72.0,10.5,30.9,33.0,75.0,48.0,93.0,26.0,59.0,74.0,67.0,67.0
101,Existing,Finished,125.2,114.7,126.8,20.0,64.0,89.0,1.0,60.0,95.0,69.0,95.0,70.0,94.0,41.0,79.0,29.0,83.0,5.0,13.0,61.0,91.0,68.0,93.0,70.0,95.0,54.0,92.0,64.0,93.0,53.0,93.0,67.0,95.0,61.0,95.0,63.0,92.0,9.0,29.0,35.0,78.0,53.0,93.0,41.0,85.0,89.0,84.0,84.0
102,Existing,Finished,116.1,133.5,96.7,37.0,57.0,85.0,1.0,47.0,89.0,50.0,84.0,49.0,90.0,49.0,86.0,29.0,79.0,15.0,35.0,39.0,82.0,55.0,85.0,46.0,86.0,46.0,83.0,51.0,86.0,48.0,88.0,46.0,88.0,48.0,88.0,41.0,80.0,13.0,41.0,47.0,84.0,52.0,91.0,48.0,80.0,71.0,72.0,73.0
103,Existing,Finished,101.7,117.7,87.9,30.0,52.0,78.0,1.0,47.0,84.0,49.0,84.0,46.0,91.0,42.0,85.0,32.0,75.0,16.0,34.0,38.0,84.0,53.0,86.0,47.0,88.0,40.0,82.0,48.0,86.0,43.0,84.0,45.0,91.0,48.0,85.0,37.0,80.0,18.0,40.0,42.0,79.0,55.0,88.0,44.0,76.0,71.0,69.0,72.0
104,Existing,Animatic,142.4,143.9,126.5,75.0,61.0,85.0,1.0,50.0,91.0,52.0,84.0,58.0,91.0,59.0,92.0,46.0,86.0,13.0,31.0,53.0,86.0,48.0,84.0,58.0,89.0,48.0,83.0,52.0,81.0,54.0,87.0,57.0,93.0,51.0,86.0,55.0,87.0,16.0,33.0,51.0,80.0,59.0,96.0,46.0,75.0,79.0,76.0,78.0
105,Existing,Fİnished,100.0,102.0,99.0,59.0,50.0,83.0,1.0,47.0,89.0,39.0,82.0,42.0,88.0,47.0,87.0,26.0,77.0,7.0,26.0,38.0,81.0,52.0,86.0,39.0,86.0,36.0,82.0,50.0,90.0,32.0,81.0,44.0,86.0,40.0,84.0,28.0,84.0,8.0,29.0,38.0,78.0,56.0,95.0,29.0,73.0,73.0,73.0,73.0
106,Existing,Fİnished,78.0,67.0,94.0,32.0,38.0,72.0,4.0,44.0,82.0,30.0,75.0,36.0,81.0,45.0,87.0,17.0,57.0,6.0,27.0,34.0,73.0,48.0,86.0,36.0,76.0,27.0,73.0,35.0,77.0,23.0,72.0,36.0,83.0,33.0,82.0,24.0,78.0,4.0,22.0,31.0,66.0,56.0,96.0,24.0,64.0,64.0,64.0,64.0
107,Existing,Finished,74.0,78.0,79.0,51.0,50.0,80.0,1.0,37.0,85.0,28.0,73.0,40.0,84.0,49.0,87.0,22.0,65.0,7.0,27.0,32.0,74.0,37.0,81.0,35.0,78.0,36.0,79.0,31.0,77.0,27.0,69.0,33.0,87.0,29.0,82.0,38.0,82.0,8.0,32.0,38.0,73.0,61.0,92.0,32.0,61.0,61.0,61.0,61.0
108,Existing,Fİnished,122.8,132.7,107.4,32.0,65.0,90.0,0.0,67.0,95.0,62.0,95.0,76.0,97.0,58.0,96.0,38.0,84.0,3.0,13.0,56.0,91.0,74.0,97.0,71.0,96.0,53.0,90.0,66.0,94.0,66.0,94.0,73.0,98.0,61.0,95.0,58.0,94.0,4.0,18.0,49.0,89.0,62.0,99.0,54.0,88.0,86.0,84.0,85.0
109,Existing,Fİnished,135.1,131.2,126.9,34.0,58.0,85.0,1.0,61.0,93.0,52.0,85.0,65.0,95.0,56.0,92.0,35.0,84.0,8.0,23.0,46.0,82.0,66.0,95.0,56.0,89.0,47.0,88.0,52.0,89.0,52.0,87.0,66.0,94.0,56.0,93.0,41.0,84.0,10.0,28.0,49.0,85.0,70.0,98.0,41.0,79.0,87.0,82.0,80.0
110,Existing,Animatic,180.9,162.2,165.2,39.0,69.0,92.0,0.0,73.0,97.0,59.0,92.0,75.0,98.0,77.0,97.0,47.0,90.0,7.0,14.0,67.0,91.0,69.0,95.0,72.0,97.0,67.0,89.0,61.0,93.0,66.0,97.0,79.0,99.0,64.0,96.0,63.0,95.0,7.0,16.0,60.0,86.0,83.0,99.0,58.0,88.0,89.0,87.0,86.0
111,Existing,Animatic,155.5,141.4,147.8,36.0,60.0,85.0,2.0,60.0,92.0,53.0,84.0,69.0,93.0,69.0,91.0,46.0,87.0,9.0,22.0,58.0,87.0,56.0,88.0,64.0,90.0,51.0,90.0,53.0,85.0,68.0,91.0,67.0,95.0,47.0,87.0,51.0,88.0,7.0,24.0,49.0,83.0,79.0,99.0,53.0,84.0,92.0,81.0,81.0
112,Existing,Finished,105.3,114.4,96.3,60.0,63.0,87.0,1.0,61.0,90.0,52.0,89.0,58.0,89.0,36.0,79.0,36.0,76.0,11.0,30.0,48.0,82.0,56.0,88.0,54.0,92.0,47.0,85.0,45.0,78.0,54.0,87.0,57.0,90.0,61.0,89.0,59.0,90.0,13.0,33.0,45.0,79.0,45.0,86.0,43.0,79.0,80.0,76.0,77.0
113,Existing,Videoboard,116.0,119.0,109.0,42.0,47.0,85.0,2.0,57.0,93.0,62.0,93.0,67.0,93.0,65.0,96.0,23.0,75.0,7.0,16.0,48.0,85.0,58.0,94.0,54.0,91.0,49.0,88.0,61.0,91.0,42.0,86.0,54.0,96.0,47.0,92.0,55.0,90.0,9.0,21.0,36.0,79.0,54.0,93.0,35.0,83.0,67.0,68.0,67.0
114,Existing,Videoboard,145.0,149.0,126.0,32.0,61.0,88.0,1.0,65.0,94.0,65.0,95.0,68.0,95.0,64.0,95.0,35.0,80.0,10.0,18.0,53.0,88.0,70.0,96.0,67.0,92.0,58.0,91.0,68.0,93.0,52.0,90.0,60.0,95.0,62.0,95.0,62.0,92.0,9.0,25.0,49.0,87.0,56.0,97.0,52.0,86.0,66.0,67.0,67.0
115,Existing,Finished,138.3,133.8,133.0,22.0,65.0,92.0,0.0,70.0,96.0,65.0,94.0,73.0,96.0,49.0,90.0,40.0,87.0,9.0,17.0,53.0,91.0,75.0,97.0,68.0,94.0,54.0,90.0,66.0,96.0,68.0,95.0,68.0,97.0,67.0,95.0,55.0,91.0,9.0,24.0,45.0,83.0,65.0,98.0,54.0,89.0,87.0,79.0,84.0
116,Existing,Finished,116.5,124.5,106.6,43.0,57.0,91.0,2.0,61.0,91.0,54.0,90.0,71.0,95.0,77.0,96.0,37.0,80.0,7.0,21.0,52.0,86.0,53.0,88.0,60.0,95.0,49.0,89.0,55.0,88.0,65.0,93.0,72.0,97.0,51.0,87.0,57.0,92.0,9.0,27.0,40.0,82.0,53.0,94.0,46.0,84.0,83.0,74.0,75.0
117,Line/Range extension,Videoboard,167.2,142.4,169.8,30.0,74.0,92.0,0.0,73.0,94.0,74.0,97.0,77.0,97.0,88.0,97.0,58.0,91.0,7.0,13.0,70.0,92.0,68.0,96.0,69.0,92.0,64.0,93.0,79.0,99.0,67.0,92.0,79.0,99.0,60.0,96.0,67.0,96.0,10.0,20.0,65.0,89.0,81.0,97.0,68.0,90.0,96.0,96.0,91.0
118,Existing,Animatic,129.4,124.8,126.9,47.0,64.0,89.0,1.0,66.0,92.0,63.0,89.0,67.0,96.0,57.0,88.0,48.0,85.0,7.0,15.0,61.0,87.0,69.0,92.0,64.0,88.0,61.0,90.0,61.0,91.0,62.0,88.0,63.0,95.0,68.0,96.0,68.0,93.0,9.0,22.0,51.0,81.0,61.0,93.0,50.0,82.0,86.0,78.0,78.0
119,Existing,Videoboard,129.3,122.3,128.9,22.0,51.0,87.0,0.0,61.0,98.0,49.0,93.0,65.0,99.0,43.0,92.0,25.0,80.0,6.0,15.0,37.0,88.0,71.0,95.0,61.0,94.0,43.0,92.0,56.0,91.0,44.0,90.0,60.0,96.0,51.0,94.0,49.0,93.0,4.0,18.0,42.0,82.0,52.0,93.0,43.0,83.0,80.0,76.0,75.0
120,Existing,Videoboard,90.0,87.4,95.0,47.0,34.0,63.0,8.0,34.0,80.0,43.0,81.0,47.0,83.0,56.0,84.0,34.0,68.0,11.0,38.0,38.0,71.0,30.0,63.0,40.0,75.0,36.0,71.0,37.0,81.0,43.0,77.0,39.0,85.0,33.0,64.0,43.0,73.0,20.0,50.0,31.0,61.0,48.0,90.0,58.0,89.0,66.0,58.0,50.0
121,Existing,Videoboard,81.4,72.7,93.2,32.0,35.0,60.0,4.0,36.0,79.0,45.0,79.0,48.0,87.0,51.0,88.0,33.0,68.0,9.0,28.0,33.0,70.0,32.0,72.0,45.0,84.0,37.0,72.0,34.0,82.0,40.0,77.0,45.0,82.0,28.0,72.0,41.0,79.0,21.0,52.0,28.0,56.0,55.0,87.0,53.0,90.0,56.0,56.0,47.0
122,Existing,Storyboard,170.9,164.2,155.4,48.0,69.0,93.0,1.0,69.0,95.0,71.0,95.0,77.0,98.0,63.0,94.0,54.0,88.0,12.0,18.0,66.0,92.0,77.0,98.0,69.0,93.0,65.0,93.0,65.0,95.0,73.0,95.0,74.0,98.0,76.0,97.0,71.0,95.0,12.0,21.0,61.0,90.0,68.0,97.0,58.0,89.0,76.0,80.0,79.0
123,Existing,Storyboard,166.5,157.7,154.7,63.0,74.0,96.0,1.0,72.0,97.0,62.0,96.0,76.0,97.0,48.0,87.0,47.0,90.0,10.0,20.0,64.0,93.0,78.0,99.0,72.0,96.0,60.0,94.0,67.0,96.0,69.0,94.0,69.0,97.0,81.0,97.0,67.0,94.0,12.0,22.0,51.0,88.0,59.0,96.0,53.0,90.0,69.0,68.0,68.0
124,Existing,Finished,86.3,86.8,89.1,42.0,36.0,76.0,6.0,39.0,82.0,37.0,74.0,38.0,89.0,47.0,84.0,30.0,70.0,9.0,40.0,31.0,69.0,42.0,91.0,35.0,79.0,35.0,80.0,31.0,81.0,41.0,82.0,43.0,93.0,35.0,82.0,32.0,72.0,15.0,38.0,35.0,67.0,61.0,97.0,29.0,57.0,72.0,66.0,62.0
125,Existing,Finished,82.7,86.9,82.7,42.0,36.0,71.0,4.0,46.0,84.0,34.0,76.0,43.0,86.0,52.0,83.0,29.0,67.0,13.0,30.0,38.0,75.0,43.0,86.0,47.0,84.0,36.0,73.0,35.0,75.0,35.0,76.0,49.0,88.0,31.0,80.0,36.0,72.0,11.0,47.0,38.0,76.0,55.0,97.0,29.0,65.0,77.0,69.0,67.0
126,Existing,Finished,87.0,92.1,85.6,42.0,33.0,70.0,9.0,36.0,80.0,32.0,74.0,40.0,84.0,42.0,77.0,35.0,67.0,17.0,47.0,33.0,62.0,39.0,80.0,37.0,78.0,39.0,78.0,34.0,74.0,37.0,73.0,41.0,85.0,33.0,76.0,32.0,75.0,24.0,52.0,44.0,67.0,60.0,96.0,30.0,58.0,78.0,66.0,63.0
127,Existing,Finished,64.6,63.1,71.3,42.0,32.0,58.0,5.0,32.0,73.0,29.0,71.0,35.0,77.0,40.0,75.0,28.0,66.0,17.0,42.0,27.0,65.0,35.0,77.0,28.0,71.0,32.0,66.0,28.0,75.0,34.0,77.0,36.0,84.0,31.0,68.0,27.0,66.0,16.0,43.0,34.0,59.0,56.0,86.0,25.0,52.0,68.0,55.0,55.0
128,Existing,Finished,95.5,96.6,96.2,35.0,40.0,76.0,4.0,45.0,87.0,39.0,81.0,46.0,89.0,46.0,82.0,31.0,76.0,11.0,32.0,36.0,74.0,48.0,85.0,43.0,86.0,42.0,80.0,38.0,77.0,38.0,82.0,50.0,91.0,37.0,82.0,35.0,77.0,10.0,34.0,45.0,75.0,68.0,97.0,33.0,68.0,77.0,65.0,61.0
129,Existing,Finished,97.6,107.2,90.6,35.0,44.0,77.0,4.0,46.0,87.0,35.0,82.0,47.0,90.0,43.0,83.0,33.0,81.0,14.0,38.0,33.0,75.0,42.0,85.0,43.0,86.0,43.0,80.0,39.0,79.0,36.0,84.0,48.0,89.0,40.0,85.0,37.0,76.0,10.0,38.0,50.0,75.0,68.0,98.0,39.0,69.0,82.0,69.0,65.0
130,Existing,Finished,112.8,114.6,109.1,34.0,39.0,78.0,2.0,46.0,90.0,44.0,84.0,54.0,90.0,49.0,84.0,38.0,86.0,10.0,32.0,40.0,76.0,54.0,89.0,52.0,90.0,47.0,80.0,46.0,81.0,44.0,86.0,55.0,98.0,41.0,87.0,41.0,81.0,13.0,39.0,48.0,76.0,76.0,99.0,39.0,73.0,83.0,66.0,60.0
131,Existing,Finished,88.2,84.7,94.2,34.0,40.0,75.0,3.0,47.0,90.0,41.0,77.0,39.0,89.0,51.0,82.0,26.0,67.0,11.0,28.0,34.0,78.0,48.0,83.0,38.0,88.0,40.0,82.0,32.0,74.0,31.0,80.0,48.0,89.0,29.0,80.0,30.0,73.0,9.0,28.0,39.0,77.0,67.0,97.0,28.0,68.0,72.0,63.0,58.0
